序号,产品ID,类型,线路名称,副标题,出发地,携程价格,天数,基础加成价,服务溢价,折扣空间,最终建议价,你的价格,评分,评论数,月销量,图片URL,标签
131,62206480,拼小团,成都+重庆+三星堆博物馆5日4晚拼小团,经典成渝8人精致小团+三星堆含导游精讲+看大熊猫|赠两江夜游船+川剧变脸秀+24h接送机,重庆出发,3087,5,7500,500元,×1.15,9200,,5.0,122,122,"https://dimg04.c-ctrip.com/images/0304f12000rvk0zk21122_R_420_420.jpg?proc=crop/m_c,w_2560,h_2560,x_0,y_0,g_center,3DFF","0购物,成团保障,0自费"
132,101981472,一日游,【亲子游】动物园+科技馆+渣滓洞+磁器口+嘉陵江轮渡一日游,,重庆出发,158,1,300,100元,×1.15,400,,5.0,,13,https://dimg04.c-ctrip.com/images/0355512000qd91otzED01_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
133,31849538,私家团,长江三峡+恩施市7日6晚私家团,世纪邮轮180度一线江景阳台客房+中西自助餐+四景上岸游，恩施段独立包车游+赠218元西兰卡普演出+恩施大峡谷全景『恩施1日留白自选行程』,重庆出发,6831,7,20800,700元,×1.15,24700,,5.0,222,222,"https://dimg04.c-ctrip.com/images/0301u12000mcjtpus4CD8_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",成团保障
134,68205370,私家团,重庆+成都+都江堰+青城山+三星堆博物馆6日5晚私家团,大熊猫+探秘三星堆｜重庆市区网红打卡+体验长江索道｜赠送重庆两江夜游船票｜全程精选5钻酒店｜含双城动车｜专车出行｜纯玩0购物｜24H小管家服务,重庆出发,3350,6,10200,600元,×1.15,12400,,,,,"https://dimg04.c-ctrip.com/images/0301812000lisccpn67AE_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
135,61738562,一日游,重庆一日游●大足石刻旅游●主城5区免费接●中文导游●探秘双山,,重庆出发,138,1,200,100元,×1.15,300,,4.6,,100,https://dimg04.c-ctrip.com/images/0355812000qcvpg7q20EC_C_420_420.png,"立即确认,无购物,有条件退"
136,30941204,私家团,长江三峡+恩施市7日6晚私家团,美维游轮•指定180度一线江景阳台客房+中西自助餐，恩施独立包车游&赠218元西兰卡普歌舞大秀，长江三峡核心全景+大峡谷全景+1日留白精华自选,重庆出发,4699,7,14300,700元,×1.15,17200,,5.0,,61,"https://dimg04.c-ctrip.com/images/03032120008ox6yflC09E_R_420_420.jpg?proc=crop/m_c,w_3846,h_3846,x_-1,y_0,g_center,8870",成团保障
137,68312269,拼小团,重庆+武隆区4日3晚拼小团,『尊享版8人团』市区经典打卡+全景武隆丨仙女山天坑地缝+芙蓉洞+芙蓉江+24H专车接送,重庆出发,1693,4,4100,400元,×1.15,5100,,4.9,258,258,"https://dimg04.c-ctrip.com/images/0301z12000o0xtkcu4A66_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_138,y_0,g_center,80B1","0购物,成团保障"
138,31172597,跟团游,武汉+长江三峡+重庆7日6晚跟团游,黄金邮轮&江景阳台房+自助餐|船票赠三大上岸景点+汉渝双城20人精品团|7天外地接免费退,重庆出发,3658,7,8200,700元,×1.15,10200,,4.8,276,276,https://dimg04.c-ctrip.com/images/03003120008p2fxsqB75C_C_420_420.png,"免费退,0购物,成团保障"
139,100961511,一日游,探秘重庆天眼洞+闯地心极地探险一日游【2-8人团，上门接送】,,重庆出发,428,1,800,100元,×1.15,1000,,4.6,,16,https://dimg04.c-ctrip.com/images/0350812000ppjwvxn88D1_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
140,40598793,自由行,武汉+长江三峡+重庆6日5晚自由行,黄金游轮&180度一线江景阳台房+武汉1晚自选5钻酒店｜邮轮中西自助餐+赠登船晚餐+重庆行李搬运｜赠送三峡大坝+小三峡+丰都鬼城·船游巫峡+瞿塘峡+夔门,重庆出发,3140,6,8600,600元,×1.15,10500,,4.9,438,438,"https://dimg04.c-ctrip.com/images/0306e12000ljbczin0A1F_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",
141,86676233,一日游,【含中文官方讲解】816工程景区+白鹤梁水下博物馆一日游,,重庆出发,283,1,500,100元,×1.15,600,,4.9,237,38,https://dimg04.c-ctrip.com/images/0354812000sekj6fx1027_C_420_420.jpg,"立即确认,上门接,有条件退"
142,68546103,拼小团,重庆+成都+三星堆博物馆6日5晚拼小团,『国宝档案·8人团·赠两江游+川剧演出』精华连游·网红山城·探秘三星堆·熊猫基地·武侯祠,重庆出发,2236,6,5400,600元,×1.15,6800,,5.0,,51,"https://dimg04.c-ctrip.com/images/0301v12000lri6eja4251_R_420_420.jpg?proc=crop/m_c,w_2160,h_2160,x_-1,y_0,g_center,303E","免费退,0购物,成团保障,0自费"
143,68202184,私家团,成都+重庆+青城山+都江堰+三星堆博物馆6日5晚私家团,限时热卖&大熊猫+探秘三星堆｜重庆市区网红打卡+体验长江索道｜赠送重庆两江夜游船票｜全程精选5钻酒店｜含双城动车｜专车出行｜纯玩0购物｜24H小管家服务,重庆出发,3353,6,10200,600元,×1.15,12400,,,,,"https://dimg04.c-ctrip.com/images/0303w12000nv2e1hh5421_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
144,65748404,自由行,重庆+长江三峡+宜昌4日3晚自由行,星际水晶/星际游轮/长江三峡游轮/三峡游轮/三峡旅游/4天3晚/选赠重庆一日游/三峡游轮/豪华游轮/老人出游/180度江景标准阳台房,重庆出发,1668,4,4500,400元,×1.15,5600,,,,,"https://dimg04.c-ctrip.com/images/0306o12000ro2vrf5F24B_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",
145,40647235,自由行,宜昌+长江三峡+重庆5日4晚自由行,美维邮轮&指定180度一线江景阳台房+全程自助餐｜赠游轮WIFI+重庆港行李搬运+长江三峡3大核心景点+船游巫峡+瞿塘峡｜宜昌登船,重庆出发,1992,5,5400,500元,×1.15,6700,,5.0,,61,"https://dimg04.c-ctrip.com/images/0303r12000mkp0uinF670_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",
146,23151136,跟团游,武汉+宜昌+长江三峡+重庆7日6晚跟团游,美维游轮&宿180度江景阳台房+全程自助餐，船票赠3景上岸游+三峡精华段+汉渝20人精品团,重庆出发,3347,7,7500,700元,×1.15,9400,,4.8,5011,5011,"https://dimg04.c-ctrip.com/images/0305512000qlm08a2B074_C_420_420.jpg?proc=crop/m_c,w_799,h_799,x_0,y_402,BB7C","0购物,成团保障"
147,60322099,一日游,巫峡·神女景区+巫山小三峡+小小三峡一日游【纯玩无购物】,,巫山出发,369,1,700,100元,×1.15,900,,4.9,,34,https://dimg04.c-ctrip.com/images/100l0e00000077ve55D4A_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
148,33742696,私家团,恩施市+重庆+武隆区6日5晚私家团,【仙境恩施·魔幻重庆·全景武隆】1单1团包车游&必乘景交全含·赠长江索道+大峡谷观光小火车【世遗天坑&地缝·重庆市内精华游】恩施1日行程自选·费用已含,重庆出发,3676,6,11200,600元,×1.15,13500,,,,2,"https://dimg04.c-ctrip.com/images/0301d12000r9rand78E0D_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_-64,g_center,D9A3",成团保障
149,61293059,私家团,重庆+武隆区+成都7日6晚私家团,玩雾都享安逸：『全景武隆天坑+仙女山+苗族圣地九黎城+乌江画廊游船+网红市内景点串行』洪崖洞等众多网红地标一次畅玩,重庆出发,3528,7,10700,700元,×1.15,13100,,5.0,,42,"https://dimg04.c-ctrip.com/images/0306212000l8rox23C02D_R_420_420.jpg?proc=crop/m_c,w_1813,h_1813,x_0,y_0,g_center,8295",成团保障
150,50857227,一日游,武隆天生三桥+龙水峡地缝+乌江画廊一日游【vip包车含门票】,,重庆出发,429,1,800,100元,×1.15,1000,,5.0,836,43,https://dimg04.c-ctrip.com/images//0580612000onu0s4aA0F5_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
151,72912416,私家团,恩施市+重庆6日5晚私家团,咨询客服高减800补贴【秘境恩施#遇见山城】自营车队&q全程酒店&房型自选<美上央视夜景+网红狮子关S浮桥+大峡谷全景+屏山悬浮船+长江索道+解放碑洪崖洞>高铁衔接|不走回头路|专属管家服务,重庆出发,4677,6,14200,600元,×1.15,17000,,,,,https://dimg04.c-ctrip.com/images/0305g12000sj4s1ca6C47_C_420_420.png,成团保障
152,38560902,拼小团,重庆+武隆区6日5晚拼小团,『巴渝大观·8人封顶』解放碑酒店·两江夜游船·武隆奇观+市区经典+大足石刻·专车接送机,重庆出发,2224,6,5400,600元,×1.15,6800,,4.7,17332,17332,"https://dimg04.c-ctrip.com/images/0585b12000n9qbd4pFD16_C_420_420.jpg?proc=crop/m_c,w_861,h_861,x_210,y_0,0F3B","免费退,立即确认,0购物,成团保障,0自费"
153,62381640,拼小团,重庆+成都+九寨沟+武隆区+峨眉山市8日7晚拼小团,8人小团纯玩|重庆天坑仙女山赠两江夜游船|动车往返九寨|峨眉山乐山大佛|24h接送机/站,重庆出发,5335,8,13000,800元,×1.15,15800,,,,5,"https://dimg04.c-ctrip.com/images/0304y12000m83msbf3DF7_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","0购物,成团保障,0自费"
154,12346187,一日游,武陵山大裂谷+816工程一日游【赠乌江游船｜特色中餐丨纯玩】,,重庆出发,178,1,300,100元,×1.15,400,,4.8,237,24,https://dimg04.c-ctrip.com/images//0581r12000myzydo0887F_C_420_420.jpg,"立即确认,无购物,有条件退"
155,65737434,自由行,重庆+长江三峡+宜昌4日3晚自由行,美维游轮/美维凯璇/美维凯悦/美维凯珍/美维凯娜/美维凯蒂/长江三峡游轮/三峡游轮/4天3晚/四天三晚/选赠重庆一日游/三峡游轮/豪华游轮/老人出游/180度江景标准阳台房,重庆出发,1368,4,3700,400元,×1.15,4700,,4.6,523,523,"https://dimg04.c-ctrip.com/images/0306412000ro2cv1c499E_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",
156,102853427,一日游,【大咖说】重庆中国三峡博物馆 3H讲解含门票 15人团,,重庆出发,134,3,200,300元,×1.15,500,,5.0,,100,https://dimg04.c-ctrip.com/images/0350u12000qzbdb16C025_C_420_420.png,"无购物,有条件退"
157,9891780,跟团游,武隆区2日1晚跟团游,『金牌导游带队丨30人团/8人团任选』武隆全景 ·仙女山+天生三桥+地缝+芙蓉洞+乌江画廊,重庆出发,828,2,1800,200元,×1.15,2300,,4.7,07893,4807893,"https://dimg04.c-ctrip.com/images/0302m12000qg3h3cq744F_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","0购物,成团保障"
158,68216637,私家团,重庆+成都+都江堰+青城山+三星堆博物馆6日5晚私家团,亲子游大熊猫+探秘三星堆｜重庆市区网红打卡+体验长江索道｜赠送重庆两江夜游船票｜全程精选5钻酒店｜含双城动车｜专车出行｜纯玩0购物｜24H小管家服务,重庆出发,3643,6,11100,600元,×1.15,13400,,,,,"https://dimg04.c-ctrip.com/images/0301812000lisccpn67AE_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","0购物,成团保障"
159,65749693,自由行,重庆+长江三峡+宜昌5日4晚自由行,长江壹号游轮/长江1号游轮/长江游轮/长海游轮/长江三峡游轮/一票全含/5天4晚/豪华游轮/老人出游/180度江景标准阳台房,重庆出发,4097,5,11200,500元,×1.15,13400,,,,,"https://dimg04.c-ctrip.com/images/0301412000ro2yiowC83B_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",
160,65737389,自由行,重庆+长江三峡+宜昌4日3晚自由行,黄金游轮/黄金二号/黄金三号/黄金三号/黄金五号/黄金六号/黄金八号/长江三峡游轮/三峡游轮/豪华游轮/老人出游/180度江景标准阳台房,重庆出发,1898,4,5200,400元,×1.15,6400,,4.2,475,475,"https://dimg04.c-ctrip.com/images/0302p12000ro2coe727F2_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_356,y_-9,g_center,3EF0",
161,24528624,拼小团,长江三峡+重庆6日5晚拼小团,乘世纪游轮过瞿塘峡+巫峡|两坝一峡邮轮过葛洲坝船闸+西陵峡|三峡大坝+白帝城+三峡之巅,重庆出发,3665,6,8900,600元,×1.15,10900,,5.0,162,162,"https://dimg04.c-ctrip.com/images/0305c12000ljbjlh57F6C_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","0购物,成团保障"
162,70411585,一日游,重庆磁器口+长江索道+李子坝轻轨站一日游【2-8人纯玩小团】,,重庆出发,148,1,200,100元,×1.15,300,,5.0,252,7,https://dimg04.c-ctrip.com/images//0585f12000n1ckpca19BC_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
163,72891038,私家团,恩施市+重庆5日4晚私家团,咨询客服高享800【恋上双城#遇见重庆】自营专属车队&全程酒店&房型自选<美上央视夜景+网红狮子关S浮桥+大峡谷全景+屏山悬浮船+长江索道+解放碑洪崖洞>高铁衔接|不走回头路|专属管家服务,重庆出发,3589,5,10900,500元,×1.15,13100,,,,,"https://dimg04.c-ctrip.com/images/0306m12000sj4qfhfD6B0_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_416,y_316,g_center,D63D",成团保障
164,69151942,私家团,重庆2日1晚私家团,【夏日特惠来袭·+咨询客服下单至高立减400】亲子遛娃必选 全程宿口碑4钻酒店【赠】两江夜游船票 >体验长江索道【赏】洪崖洞夜景>奇遇漫游山城,重庆出发,1203,2,3600,200元,×1.15,4300,,4.3,,21,"https://dimg04.c-ctrip.com/images/0304q12000qjv1nupBA21_C_420_420.png?proc=crop/m_c,w_1079,h_1079,x_0,y_177,7636",成团保障
165,95357553,一日游,白公馆+渣滓洞+磁器口+长江索道+轻轨穿楼+洪崖洞市区一日活动,,重庆出发,123,3,200,300元,×1.15,500,,5.0,124,9,https://dimg04.c-ctrip.com/images/0350812000n2atasmD5BD_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
166,94080836,一日游,【2-8人小团】重庆极地地心探险+天眼洞花岭风景区一日游,,重庆出发,419,1,800,100元,×1.15,1000,,5.0,,11,https://dimg04.c-ctrip.com/images/0355t12000otop941A4B5_C_420_420.png,"立即确认,无购物,上门接,有条件退"
167,25885204,跟团游,重庆4日3晚跟团游,『自营20人团』指定3晚商圈华美达酒店+金牌导游&舒适保姆车+热门景点打卡+24H专车接送,重庆出发,968,4,2100,400元,×1.15,2800,,4.9,15524,15524,"https://dimg04.c-ctrip.com/images/0304n12000ng8jlaj0920_C_420_420.jpg?proc=crop/m_c,w_1200,h_1200,x_150,y_400,2716","0购物,成团保障"
168,63042825,拼小团,成都+重庆+三星堆博物馆6日5晚拼小团,成渝经典8人内小团·都江堰熊猫基地三星堆三讲解+赠两江夜游+川剧变脸+旅拍+24h接送机,重庆出发,2578,6,6300,600元,×1.15,7900,,,,2,"https://dimg04.c-ctrip.com/images/0300r12000m2tn4711F07_R_420_420.jpg?proc=crop/m_c,w_1664,h_1664,x_0,y_-60,g_center,92BC","0购物,成团保障,0自费"
169,56599470,一日游,重庆两江游夜游【晚霞班/夜班丨电子票丨洪崖洞/朝天门登船】,,重庆出发,88,3,100,300元,×1.15,400,,4.7,,27,https://dimg04.c-ctrip.com/images/100d0y000000ltr6rA915_C_420_420.jpg,"立即确认,有条件退"
170,72580299,自由行,重庆2日1晚自由行,暑期错峰畅游·可选包车&全程酒店自选|限时赠送免费预约门票服务【享市区citywalk+武隆喀斯特旅游地貌+历史山水自然一站式打卡】可自由组合景点玩法>咨询客服享专属定制,重庆出发,187,2,500,200元,×1.15,800,,,,,"https://dimg04.c-ctrip.com/images/0304012000rhw4c6n96F6_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1",
171,106646282,一日游,【龚滩至万足2小时乌江游船】九黎城+龚滩古镇+乌江画廊一日游,,重庆出发,368,1,700,100元,×1.15,900,,5.0,,9,https://dimg04.c-ctrip.com/images/0351j12000s7v0uzp942A_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
172,65133308,跟团游,重庆+武隆区5日4晚跟团游,一价全含放心游『明星款』两江夜游+金牌导游+陆地头等舱保姆车+武隆&市区热门景点打卡,重庆出发,2514,5,5600,500元,×1.15,7000,,5.0,,82,"https://dimg04.c-ctrip.com/images/0300h12000sa8zeq30411_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","0购物,成团保障"
173,69346585,私家团,重庆4日3晚私家团,节后错峰「降幅真的大」!咨询整单至高立减800元！【1单1团+独立用车】【赠】两江夜游船票【独创】市区商圈奢牌5钻，看轻轨穿楼+乘过江索道+千年古镇磁器口+洪崖洞，24h管家在线~,重庆出发,1733,4,5200,400元,×1.15,6400,,5.0,,61,"https://dimg04.c-ctrip.com/images/0303z12000q1zl2fl86A5_R_420_420.jpg?proc=crop/m_c,w_2169,h_2169,x_0,y_0,g_center,8EC7",成团保障
174,69288887,自由行,重庆+长江三峡+宜昌4日3晚自由行,长江行·揽月/长江行系列游轮/长航游轮/三峡游轮/四天三晚/豪华江景阳台房/多线路可选/一票全含/升船机过坝/船过葛洲坝船闸/专车接送站服务,重庆出发,4398,4,12000,400元,×1.15,14200,,,,,"https://dimg04.c-ctrip.com/images/0302412000sa28g5i1205_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_0,g_center,5344",
175,68958466,自由行,重庆5日4晚自由行,节后错峰「降幅真的大」!咨询客服整单优惠!【市区1日包车游】宿榜单4&5钻连住【热门玩法4选1】市区1日经典渣滓洞&长江索道&洪崖洞/《黑神话:悟空》取景地大足石刻/武隆天坑地缝/梦幻奥陶纪,重庆出发,1032,5,2800,500元,×1.15,3700,,,,,"https://dimg04.c-ctrip.com/images/0304a12000lpkps970001_R_420_420.jpg?proc=crop/m_c,w_1920,h_1920,x_0,y_0,g_center,6A0E",
176,62214737,拼小团,重庆+成都+九寨沟5日4晚拼小团,重庆citywalk赠两江夜游船|8人精品小团纯玩无购物+往返九寨动车+双流/天府24h接送机,重庆出发,4427,5,10800,500元,×1.15,12900,,,,,https://dimg04.c-ctrip.com/images/0301712000s7ugiboC666_C_420_420.png,"无购物,0购物,成团保障,0自费"
177,93435678,一日游,天眼洞一日游【独立包团、上门接送、含索降+摄影】,,重庆出发,338,1,600,100元,×1.15,800,,4.3,,11,https://dimg04.c-ctrip.com/images/0350u12000movg8zcB4E7_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
178,91462647,一日游,船游【两峡一峰 奉节-巫山】巫峡·瞿塘峡·神女峰半日游,,奉节出发,168,3,300,300元,×1.15,600,,5.0,,51,https://dimg04.c-ctrip.com/images/0352z12000k73u1tb579E_C_420_420.jpg,"立即确认,无购物,有条件退"
179,69544094,私家团,重庆5日4晚私家团,『深度慢游·省心遛娃』咨询即赠两江游船+乌江画廊游船+重庆网红饮品，车上备水果糕点登山杖，打卡武隆天坑地缝仙女山+九黎城，24H 专车接送机+市区热门景点全覆盖~,重庆出发,2989,5,9100,500元,×1.15,11000,,4.8,,41,"https://dimg04.c-ctrip.com/images/0303r12000roqt8exC3A9_R_420_420.jpg?proc=crop/m_c,w_2560,h_2560,x_0,y_0,g_center,3DFF",成团保障
180,67833536,一日游,武隆天生三桥+龙水峡地缝+仙女山全景一日游【定制包车团】,,重庆出发,,1,,,,,,4.9,,13,https://dimg04.c-ctrip.com/images/0356e12000n8v57xp8229_C_420_420.jpg,"立即确认,上门接,有条件退"
181,21021188,一日游,武隆天生三桥+蚩尤九黎城+乌江画廊游船1小时含船票一日游,,重庆出发,426,1,800,100元,×1.15,1000,,5.0,422,16,https://dimg04.c-ctrip.com/images//0583h12000nyrptrq854E_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
182,21174156,拼小团,武隆区2日1晚拼小团,『全景武隆·8人团』仙女山+天坑+地缝+芙蓉洞+芙蓉江|9点晚出发·优选2年内新车|上门接,重庆出发,854,2,2000,200元,×1.15,2500,,4.7,57536,2357536,"https://dimg04.c-ctrip.com/images/0303z12000n99orq18811_C_420_420.jpg?proc=crop/m_c,w_800,h_800,x_0,y_228,36D5","0购物,成团保障,上门接"
183,31609486,跟团游,长江三峡+重庆5日4晚跟团游,黄金邮轮&江景阳台房 自助餐+赠登船晚餐+赠3景上岸游 重庆20人金牌导游团 7天外无损退,重庆出发,2693,5,6000,500元,×1.15,7400,,4.8,068145,1068145,"https://dimg04.c-ctrip.com/images/0586512000rj05gyz334C_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","0购物,成团保障"
184,95872688,一日游,【2-8人纯玩小团】九黎城+乌江画廊+龚滩古镇一日游,,重庆出发,328,1,600,100元,×1.15,800,,4.8,,18,https://dimg04.c-ctrip.com/images/0352c12000mpr4fyoB27B_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
185,68983830,自由行,重庆5日4晚自由行,节后错峰「降幅真的大」！咨询客服整单优惠！【超级自由行】4-5钻酒店随心组合【1日包车游】推荐玩法：下浩里瀑布--弹子石老街/解放碑-涂鸦一条街【24h微管家*独立用车】,重庆出发,916,5,2500,500元,×1.15,3400,,,,,"https://dimg04.c-ctrip.com/images/0303v12000naaxy0wFAA9_R_420_420.jpg?proc=crop/m_c,w_1439,h_1439,x_0,y_0,g_center,230B",
186,68341142,一日游,【纯玩小团】武隆仙女山+天生三桥+龙水峡地缝一日深度游,,重庆出发,453,3,900,300元,×1.15,1300,,5.0,,16,https://dimg04.c-ctrip.com/images/0354z12000qoxf1rj2425_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
187,60535777,拼小团,重庆+武隆区5日4晚拼小团,『尊享版8人小团』市区网红+武隆全景丨仙女山天坑地缝+芙蓉洞+芙蓉江+两江游+专车接送,重庆出发,2023,5,4900,500元,×1.15,6200,,4.9,216,216,"https://dimg04.c-ctrip.com/images/0301a12000lvp68o77FEA_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","0购物,成团保障"
188,59516383,私家团,重庆+成都+九寨沟9日8晚私家团,【双城+九寨沟+黄龙+三星堆+都江堰】【全程5钻酒店【赠：重庆两江夜游船票【赠：九寨沟藏服旅拍体验】专车《24H》接机站+重庆送机送站|川渝网红打卡~,重庆出发,6053,9,18400,900元,×1.15,22100,,4.5,121,121,"https://dimg04.c-ctrip.com/images/0300a12000lisvn0b8980_R_420_420.jpg?proc=crop/m_c,w_1056,h_1056,x_0,y_0,g_center,8A68",成团保障
189,70336788,自由行,重庆+长江三峡+宜昌4日3晚自由行,总统六号游轮/长江三峡游轮/三峡游轮/豪华游轮/老人出游/180度江景标准阳台房,重庆出发,1768,4,4800,400元,×1.15,5900,,,,,"https://dimg04.c-ctrip.com/images/0303z12000rwsy2ut9F38_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_10,y_0,g_center,0BCF",
190,68984507,自由行,重庆5日4晚自由行,节后错峰「降幅真的大」!咨询客服整单优惠！【超级自由行】4-5钻酒店随心组合【2日包车游】推荐玩法：解放碑-涂鸦一条街【24h微管家*独立用车】,重庆出发,1271,5,3400,500元,×1.15,4400,,,,,https://dimg04.c-ctrip.com/images/0302u12000ozzd03yC3AA_C_420_420.jpg,
191,31604941,跟团游,长江三峡+重庆6日5晚跟团游,华夏神女邮轮&180度江景阳台房+华美达酒店｜全程自助餐+重庆金牌导游｜华夏5号多游3景,重庆出发,3315,6,7400,600元,×1.15,9200,,4.8,76378,76378,"https://dimg04.c-ctrip.com/images/0582h12000rj19uqtE968_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","0购物,成团保障,0自费"
192,55217689,一日游,乌江画廊游船体验1小时丨含游船票+蚩尤九黎城一日游,,重庆出发,293,1,500,100元,×1.15,600,,4.9,806,42,https://dimg04.c-ctrip.com/images/0351y12000rlqfmuz85A1_C_420_420.jpg,"立即确认,上门接,有条件退"
193,83263220,一日游,武隆天生三桥+仙女山森林公园+乌江画廊一日游纯玩无购物,,重庆出发,178,1,300,100元,×1.15,400,,5.0,,13,https://dimg04.c-ctrip.com/images/0352y12000pkwj3253261_C_420_420.jpg,"立即确认,无购物,有条件退"
194,69237150,私家团,重庆5日4晚私家团,【初夏特惠来袭咨询领取至高立减800优惠】遛娃必选 全程宿口碑5钻酒店【赠】两江夜游船票 >体验长江索道【赏】洪崖洞夜景>奇遇漫游山城,重庆出发,2430,5,7400,500元,×1.15,9000,,,,,https://dimg04.c-ctrip.com/images/0301v12000iphct13BF84_C_420_420.png,成团保障
195,98443072,一日游,【大团小团直发】白鹤梁+816工程+武陵山一日游,,重庆出发,68,1,100,100元,×1.15,200,,5.0,,100+,https://dimg04.c-ctrip.com/images/0103d120009hlqyqa1C18_C_420_420.jpg,"立即确认,无购物"
196,89204670,一日游,【经典游船】重庆两江夜景游船票丨洪崖洞客运码头登船,,重庆出发,138,3,200,300元,×1.15,500,,4.7,,40,https://dimg04.c-ctrip.com/images/0357112000nrwfb1zA7D5_C_420_420.jpg,有条件退
197,40469883,拼小团,重庆+武隆天生三桥+仙女山国家森林公园2日1晚拼小团,赠树顶漫步|武隆『天生三桥+仙女山』地心探秘·武陵山大裂谷+神秘816核工程,重庆出发,788,2,1900,200元,×1.15,2400,,4.9,14925,14925,"https://dimg04.c-ctrip.com/images/0303f12000lr76zx987C7_R_420_420.jpg?proc=crop/m_c,w_800,h_800,x_-278,y_-22,g_center,992D","免费退,立即确认,0购物,成团保障,上门接,0自费"
198,62198036,拼小团,成都+重庆+三星堆博物馆5日4晚拼小团,成渝经典8人内精品小团·熊猫三星堆导游讲解+Citywalk+赠两江夜游·川剧变脸+24h接送机,重庆出发,3244,5,7900,500元,×1.15,9600,,,,3,"https://dimg04.c-ctrip.com/images/0304x12000q4rt8nc8CD1_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_7,y_0,g_center,9092","0购物,成团保障,0自费"
199,37540384,一日游,大足石刻一日游【双石刻+石刻博物馆 2-8人小团 含讲解】,,重庆出发,298,1,500,100元,×1.15,600,,4.9,103,13,https://dimg04.c-ctrip.com/images/0353m12000o693rhu9060_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
200,71988297,自由行,重庆+长江三峡+宜昌4日3晚自由行,【躺看江景·慢游三峡·轻舟载福】：阳台江景房推窗即景，船观瞿塘巫峡，漫游丰都鬼城、双桂山，观《烽烟三国》演出，船览三峡大坝，全家适老休闲之旅【选赠重庆一日游】,重庆出发,2152,4,5900,400元,×1.15,7200,,,,,"https://dimg04.c-ctrip.com/images/0306p12000saq71soF9A2_R_420_420.jpg?proc=crop/m_c,w_1538,h_1538,x_0,y_0,g_center,B903",
201,93626263,一日游,【2-8人团舒适车】重庆武隆天生三桥+仙女山+乌江画廊一日游,,重庆出发,378,1,700,100元,×1.15,900,,4.9,2313,16,https://dimg04.c-ctrip.com/images//0581z12000pgfajb80BEE_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
202,61386063,拼小团,武隆区2日1晚拼小团,『全景武隆·8人团』仙女山+天坑+地缝+芙蓉洞+芙蓉江|9点晚出发·优选2年内新车|上门接,重庆出发,780,2,1900,200元,×1.15,2400,,5.0,9924,9924,"https://dimg04.c-ctrip.com/images/0303712000n6rcb2tB952_R_420_420.jpg?proc=crop/m_c,w_1707,h_1707,x_11,y_0,g_center,CE5D","0购物,成团保障,上门接"
