序号,产品ID,类型,线路名称,副标题,出发地,携程价格,你的价格,评分,图片URL,标签,路线亮点（外国人关注）,你的专业评价
298,89425442,一日游,重庆仙女山国家森林公园一日游【2-8人小团·纯玩·无购物】,,重庆出发,262,600,5.0,/images/routes/route_89425442.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
299,66293770,私家团,重庆+长江三峡+宜昌5日4晚私家团,咨询客服下单领优惠【长江移动宫殿·美维系列游轮】私家定制#包车游重庆市区『五星移动酒店#入住阳台标间房』,重庆出发,2766,10200,5.0,/images/routes/route_66293770.jpg,成团保障,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分5.0分，口碑很好，放心选。
300,71901357,一日游,重庆蚩尤九黎城+乌江画廊一日游【2-8人小团游】,,重庆出发,328,800,4.9,/images/routes/route_71901357.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.9分，口碑很好，放心选。
301,68654326,一日游,重庆重庆动物园+三峡博物馆+人民大礼堂+李子坝轻轨站一日游,,重庆出发,183,400,4.8,/images/routes/route_68654326.jpg,"立即确认,无购物,上门接,有条件退",Internet-famous spot - train passes through building! | Unique mountain city infrastructure | Great for creative photos,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.8分，口碑很好，放心选。
302,58767331,拼小团,重庆+武隆区3日2晚拼小团,『8人封顶·云端之眼+乌江游船』精选4钻酒店·网红山城·武隆奇观·探秘九黎城·商圈上门接,重庆出发,1261,3700,4.2,/images/routes/route_58767331.jpg,"0购物,成团保障,上门接,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
303,72367867,私家团,重庆4日3晚私家团,暑期预售咨询立减288·限量赠两江夜游船票|连住市中心C位5钻豪华酒店【360饱览魔幻夜景-空中穿梭“现实版千与千寻”】本地司机带队打卡小众秘境&网红出片拍摄点&享市区citywalk,重庆出发,1895,7000,,/images/routes/route_72367867.png,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
304,53616371,一日游,武隆天生三桥+仙女山国家森林公园一日游【.纯玩.不爬山】,,重庆出发,275,600,4.9,/images/routes/route_53616371.jpg,"立即确认,无购物,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
305,35278091,自由行,长江三峡+重庆5日4晚自由行,连住3晚180度一线江景阳台房+重庆解放碑洪崖洞酒店｜全程中西自助餐+赠登船晚餐及重庆港行搬运｜含三峡大坝+小三峡+丰都鬼城/船游巫峡+瞿塘峡+夔门｜重庆登船,重庆出发,2183,7400,,/images/routes/route_35278091.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
306,81995100,一日游,大足石刻宝顶山+北山+博物馆一日游【纯玩小团】含3个景点讲解,,重庆出发,308,800,5.0,/images/routes/route_81995100.jpg,"立即确认,无购物,上门接,有条件退","UNESCO World Heritage - 5,000+ Buddhist carvings | 1,000+ years of history - Tang & Song dynasties | World-class stone art mastery",大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。 宝顶山游览约3小时，穿舒适鞋，有部分爬坡。
307,61698404,拼小团,成都+重庆+四姑娘山景区+都江堰景区5日4晚拼小团,8人内精品小团+赠两江夜游+都江堰导游精讲+赠氧气·三宝·能量包+5钻酒店+24h接送机,重庆出发,2833,8500,5.0,/images/routes/route_61698404.jpg,"0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。 这条路线评分5.0分，口碑很好，放心选。
308,70439751,私家团,重庆+成都6日5晚私家团,五一预售！咨询【旅行管家】领【立减优惠】和更多福利！看大熊猫+探秘三星堆｜重庆市区网红打卡+体验长江索道｜赠送重庆两江夜游船票｜全程精选5钻酒店｜含重庆至成都去程动车/火车｜专车出行,重庆出发,3090,11500,4.7,/images/routes/route_70439751.jpg,,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
309,64020186,拼小团,重庆+武隆区6日5晚拼小团,『休闲版8人小团』武隆全景丨仙女山+天坑地缝+芙蓉洞+芙蓉江+市内打卡+24H专车接送,重庆出发,2147,6600,5.0,/images/routes/route_64020186.jpg,"0购物,成团保障",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
310,71979255,自由行,重庆+长江三峡3日2晚自由行,皇家星光号·可选赠重庆一日游【180度一线江景阳台房+自助美食】【瞿塘胜景·秀美巫峡+长寿古镇·万州天生文旅城·白帝城·三峡大坝】自选『神女溪+升船机』万州登船到宜昌·重庆集合出发,重庆出发,1555,5100,,/images/routes/route_71979255.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
311,58485259,一日游,【大团小团直发】武隆天生三桥+仙女山国家森林公园一日游,,重庆出发,68,200,4.8,/images/routes/route_58485259.jpg,"立即确认,无购物",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
312,96195869,一日游,重庆白鹤梁水下博物馆+816工程一日游 8人内纯玩小团上门接,,重庆出发,348,800,5.0,/images/routes/route_96195869.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
313,60349577,一日游,重庆市内一日游【8人内小团】长江索道+磁器口+李子坝 上门接,,重庆出发,158,400,4.9,/images/routes/route_60349577.jpg,"立即确认,无购物,上门接,有条件退",Old-school cable car across Yangtze River - local commuting experience | Great aerial view of Chongqing's riverside | Ancient town with 1700+ years history,磁器口周末人非常多，建议工作日去或早上9点前到达。 真正的老店不在主街，带你去巷子里的正宗味道。
314,66082350,私家团,重庆+成都+九寨沟9日8晚私家团,【双城+九寨沟+黄龙+三星堆+都江堰】【全程5钻酒店【赠：重庆两江夜游船票专车《24H》接机站+重庆送机送站|川渝网红打卡~,重庆出发,6254,22800,,/images/routes/route_66082350.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
315,95357588,一日游,【8人小团城市地标】长江索道+两江小渡+轻轨穿楼+鹅岭二厂,,重庆出发,153,600,4.8,/images/routes/route_95357588.jpg,"立即确认,无购物,上门接,有条件退",Old-school cable car across Yangtze River - local commuting experience | Great aerial view of Chongqing's riverside | Internet-famous spot - train passes through building!,索道建议傍晚去，可以看到日落和夜景切换。 节假日排队1小时+，我会帮你规划错峰时间。
316,103659140,一日游,【超V私家团|9点出发|高速直达】武隆天生三桥+仙女山一日游,,重庆出发,448,1000,,/images/routes/route_103659140.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
317,28912015,跟团游,武隆区2日1晚跟团游,『金牌导游带队丨大/小团任选』武隆全景 ·仙女山+天生三桥+地缝+芙蓉洞+乌江画廊,重庆出发,656,1800,4.9,/images/routes/route_28912015.jpg,"0购物,成团保障",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 这条路线评分4.9分，口碑很好，放心选。
318,64344790,私家团,重庆+成都+九寨沟风景区+黄龙风景名胜区5日4晚私家团,咨询客服享立减丨玩转川渝 •亲子游丨深度游玩九寨沟+人间瑶池黄龙丨 一单一团 ※行程可定制&24小时行程管家丨『打卡网红景点李子坝/洪崖洞』,重庆出发,5323,19200,5.0,/images/routes/route_64344790.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分5.0分，口碑很好，放心选。
319,57242926,一日游,【拼小团·可包车】重庆市区长江索道+李子坝等经典路线一日活动,,重庆出发,153,600,4.9,/images/routes/route_57242926.jpg,"立即确认,上门接,有条件退",Old-school cable car across Yangtze River - local commuting experience | Great aerial view of Chongqing's riverside | Internet-famous spot - train passes through building!,索道建议傍晚去，可以看到日落和夜景切换。 节假日排队1小时+，我会帮你规划错峰时间。
320,60959797,自由行,重庆3日2晚自由行,【精选核心商圈4钻/5钻酒店任意选】【精品车型任意选经济型5座/商务7座/商务9座等等】随心所欲想停就停想走就走/经典行程，纯玩无购物/无进店,重庆出发,641,2300,4.5,/images/routes/route_60959797.jpg,无购物,Carefully selected top attractions | Professional English-speaking guide,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
321,83676509,一日游,重庆长江索道+磁器口+李子坝+洪崖洞+渣滓洞+白公馆一日游,,重庆出发,128,300,5.0,/images/routes/route_83676509.jpg,"立即确认,无购物,上门接,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
322,67813278,拼小团,重庆+武隆区+彭水5日4晚拼小团,升级1晚5钻+奔驰航空舱+赠『乌江游船+特色两餐』5A「金佛山+天坑三桥+仙女山」+九黎城,重庆出发,1600,5000,4.9,/images/routes/route_67813278.jpg,"免费退,立即确认,0购物,成团保障,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
323,65510671,私家团,重庆4日3晚私家团,节后错峰「降幅真的大」!咨询即赠两江夜游船票 + 重庆网红饮品，车上备水果糕点登山杖，4 钻市区商圈酒店，看轻轨穿楼+乘过江索道+千年古镇磁器口+洪崖洞，1 单 1 团独立用车+24h管家在线~,重庆出发,1511,5700,,/images/routes/route_65510671.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
324,40946658,拼小团,重庆+武隆区5日4晚拼小团,宿解放碑酒店「赠两江夜游+树顶漫步」+5A奇景『大裂谷+天坑+仙女山』+大足石刻·赠讲解,重庆出发,1928,5900,5.0,/images/routes/route_40946658.jpg,"立即确认,0购物,成团保障,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
325,69785573,自由行,重庆+长江三峡3日2晚自由行,赠游白帝城&船过葛洲坝船闸｜世纪江山如诗全白天过瞿塘峡+巫峡｜两坝一峡游船过西陵峡精华段+登览三峡大坝,重庆出发,1686,5600,,/images/routes/route_69785573.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
326,82287670,一日游,【全景旅拍夜游】重庆夜景游｜赠送30张高清底片｜摄像跟随,,重庆出发,98,400,5.0,/images/routes/route_82287670.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
327,68436211,一日游,纯玩团丨乘坐乌江画廊游船丨探秘千年苗寨蚩尤九黎城丨品长桌宴,,重庆出发,193,600,4.8,/images/routes/route_68436211.jpg,"立即确认,无购物,上门接,有条件退",Night cruise on Yangtze & Jialing Rivers | Stunning skyline view with colorful lights | See Hongyaodong from the water,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.8分，口碑很好，放心选。
328,53372888,一日游,【纯玩8人团+航空车】武隆天生三桥+龙水峡地缝乌江画廊一日游,,重庆出发,428,1000,4.9,/images/routes/route_53372888.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
329,65498498,私家团,重庆4日3晚私家团,节后错峰「降幅真的大」!咨询整单至高立减800元！【1单1团+独立用车】【赠】两江夜游船票-市区商圈奢牌5钻，看轻轨穿楼+乘过江索道+千年古镇磁器口+洪崖洞，24h管家在线~,重庆出发,1725,6400,,/images/routes/route_65498498.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
330,93629699,一日游,武隆天生三桥+仙女山森林公园一日游【配导游+午餐|可选小团】,,重庆出发,328,800,4.5,/images/routes/route_93629699.jpg,"立即确认,无购物,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
331,85977775,一日游,8人团丨双景区人工讲解丨重庆816工程+武陵山大裂谷+白鹤梁,,重庆出发,303,1000,4.8,/images/routes/route_85977775.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.8分，口碑很好，放心选。
332,60956404,拼小团,重庆+成都+三星堆博物馆4日3晚拼小团,『川渝精华·8人团·赠重庆两江游』山城网红·长江索道+轻轨穿楼+成都探秘三星堆+大熊猫,重庆出发,1594,4900,5.0,/images/routes/route_60956404.jpg,"免费退,0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。 这条路线评分5.0分，口碑很好，放心选。
333,63303365,私家团,成都+重庆+九寨沟+三星堆博物馆+黄龙风景名胜区8日7晚私家团,成都+重庆+九寨沟景点一次全览｜1单1团+全程0购物｜全程入住酒店5钻酒店｜1V1行程小管家,重庆出发,5590,20400,,/images/routes/route_63303365.jpg,"0购物,成团保障",100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
334,107491258,一日游,【赠游船】武陵山大裂谷+816+乌江画廊-涪陵段含餐一日游,,重庆出发,188,400,,/images/routes/route_107491258.jpg,"立即确认,无购物,有条件退",Night cruise on Yangtze & Jialing Rivers | Stunning skyline view with colorful lights | See Hongyaodong from the water,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
335,71326093,自由行,重庆+长江三峡4日3晚自由行,赠游白帝城&船过葛洲坝船闸｜世纪江山如诗全白天过瞿塘峡+巫峡｜两坝一峡游船过西陵峡精华段+登览三峡大坝,重庆出发,1854,6200,,/images/routes/route_71326093.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
336,89227380,一日游,重庆长江索道+轻轨穿楼+洪崖洞+磁器口一日游|儿童免费,,重庆出发,98,200,4.9,/images/routes/route_89227380.jpg,"立即确认,无购物,上门接,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
337,63032065,拼小团,成都+重庆+三星堆博物馆6日5晚拼小团,成渝经典8人内精致小团+三星堆+都江堰导游精讲+赠两江游船+川剧盖碗茶+24h专车接送机,重庆出发,2578,7900,4.9,/images/routes/route_63032065.jpg,"0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。 这条路线评分4.9分，口碑很好，放心选。
338,66675774,私家团,重庆+武隆区4日3晚私家团,节后错峰「降幅真的大」!咨询即赠重庆网红饮品+车备水果糕点登山杖<<重磅升级〓打卡经典线路'天福官驿'<<专属用车&24H管家在线<<1日行程灵活3选1<天坑+816核工程><天坑+地缝><天坑+仙女山>,重庆出发,1989,7300,4.9,/images/routes/route_66675774.jpg,成团保障,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 私家团完全按你的节奏来，老人小孩也不用赶时间。
339,38725487,拼小团,武隆区2日1晚拼小团,『武陵秘境·8人小团』真纯玩·武隆奇观天生三桥+仙女山+816工程+大裂谷·核心商圈上门接,重庆出发,788,2400,4.7,/images/routes/route_38725487.jpg,"0购物,成团保障,上门接,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
340,58181128,自由行,长江三峡+重庆5日4晚自由行,『黄金系列游轮·180度一线江景阳台房』赠登船晚餐【3大上岸景点+长江三峡核心精华景区】,重庆出发,3237,10800,,/images/routes/route_58181128.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
341,61740584,一日游,重庆龚滩古镇+乌江画廊+九黎城一日游【主城免费接+船游乌江】,,重庆出发,219,500,5.0,/images/routes/route_61740584.jpg,"立即确认,无购物,有条件退","Ancient town with 1700+ years history | Try local snacks: 陈麻花, 酸辣粉 | Traditional crafts and tea houses",一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
342,52456950,一日游,武隆天生三桥+816工程景区一日游【8人小团｜赠816讲解】,,重庆出发,568,1300,4.9,/images/routes/route_52456950.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
343,94075404,一日游,重庆武隆天生三桥+仙女山+乌江一日游【VIP私家包团不拼车】,,重庆出发,468,1100,4.8,/images/routes/route_94075404.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
344,71579299,私家团,重庆+成都+九寨沟9日8晚私家团,"咨询【旅行管家】下单至高减800,【赠成都亲子非遗体验-文殊坊香囊/香牌/烧箔/扎染丨咨询领取】提前报名享【三星堆优先出票】赠送重庆两江夜游船票精选5钻酒店｜",重庆出发,5712,21000,,/images/routes/route_71579299.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
345,30987393,一日游,长江索道+轻轨穿楼+磁器口+洪崖洞一日游【三项赠送|定点接】,,重庆出发,48,100,4.9,/images/routes/route_30987393.jpg,"立即确认,无购物,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
346,93659569,一日游,重庆洪崖洞+长江索道+李子坝一日游+动物园【8人纯玩小团 】,,重庆出发,223,500,5.0,/images/routes/route_93659569.jpg,"立即确认,无购物,上门接,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
347,36483398,拼小团,重庆+武隆区+大足石刻5日4晚拼小团,『8人团·赠两江游船』文化宝藏宝顶山+北山石刻·武隆奇观天生三桥+仙女山·打卡市区网红,重庆出发,1873,5700,4.6,/images/routes/route_36483398.jpg,"0购物,成团保障,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。
348,68895758,私家团,重庆+武隆天生三桥+彭水5日4晚私家团,【初夏特惠来袭咨询至高立减800优惠】遛娃必选 全程宿口碑5钻酒店【赠】两江夜游船票 >体验长江索道【赏】洪崖洞夜景>奇遇漫游山城,重庆出发,3343,12100,,/images/routes/route_68895758.png,成团保障,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 私家团完全按你的节奏来，老人小孩也不用赶时间。
349,61407715,一日游,奉节三峡之巅+瞿塘峡+白帝城一日游【费用全含·纯玩】,,奉节出发,299,600,4.9,/images/routes/route_61407715.jpg,"立即确认,无购物,上门接,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.9分，口碑很好，放心选。
350,69778601,自由行,重庆+长江三峡+宜昌4日3晚自由行,长江行&揽月 2026年全新邮轮 1票全含｜含升船机过三峡大坝+穿葛洲坝船闸，三峡全景过瞿塘峡+巫峡+西陵峡，赠3景上岸游+含3早5正餐，赠接送机/站服务,重庆出发,4398,14200,,/images/routes/route_69778601.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
351,103472336,一日游,重庆武隆天生三桥+地缝一日游【独立团+含景区门票+上门接送】,,重庆出发,448,1000,5.0,/images/routes/route_103472336.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
352,61860126,拼小团,成都+重庆+三星堆博物馆+都江堰5日4晚拼小团,8人精品小团&熊猫基地+三星堆+都江堰导游精讲+赠两江游船&川剧盖碗茶+24h接送机/站,重庆出发,2886,8600,5.0,/images/routes/route_61860126.jpg,"0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。 这条路线评分5.0分，口碑很好，放心选。
353,70112908,私家团,重庆4日3晚私家团,节后错峰「降幅真的大」!咨询整单至高立减800元！【魔幻山城】限时赠两江夜游船票『核心商圈酒店自选』重庆打卡市内网红景点『长江索道+山城步道+龙门浩老街+洪崖洞+磁器口』专车接送机/站,重庆出发,1355,5100,,/images/routes/route_70112908.jpg,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。
354,52981209,拼小团,武隆区2日1晚拼小团,『精致8人小团·赠芙蓉江游船』全景武隆地心之旅·天生三桥+地缝+仙女山·核心商圈上门接,重庆出发,789,2400,5.0,/images/routes/route_52981209.jpg,"0购物,成团保障,上门接,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
355,64996886,自由行,重庆+长江三峡+武汉6日5晚自由行,【长江记忆·独有航线】仅有过三峡大坝双线五级船闸+葛洲坝船闸&完整穿越长江三峡之瞿塘峡+巫峡+西陵峡&赠送6大景点游览，宿180度一线江景阳台房+全程轮自助餐,重庆出发,4329,14300,,/images/routes/route_64996886.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
356,100342559,一日游,武隆天生三桥+仙女山国家森林公园一日游（含门票+导游+午餐）,,重庆出发,310,800,5.0,/images/routes/route_100342559.jpg,"立即确认,无购物,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
357,94864765,一日游,武隆天生三桥+仙女山森林公园一日游【8人小团/大巴团可选】,,重庆出发,308,800,5.0,/images/routes/route_94864765.jpg,"立即确认,无购物,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
358,54440450,一日游,重庆+四面山一日游【上门接送】,,重庆出发,698,1600,5.0,/images/routes/route_54440450.jpg,"立即确认,无购物,上门接,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
359,71786305,私家团,重庆+武隆区3日2晚私家团,【咨询客服至高减288・尊享赠送乌江画廊游船】武隆全景免换乘・网红秘境九黎城・壮阔天生三桥・奇幻龙水峡地缝一站畅玩，24 小时专属管家全程护航，贴心含接机服务。,重庆出发,2355,8500,,/images/routes/route_71786305.png,成团保障,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 私家团完全按你的节奏来，老人小孩也不用赶时间。
